NVTK;0.5;01.01.2024;Вероятны санкции
ALRS;0.5;01.01.2024;Вероятны санкции
YNDX;0;01.04.2024;Не понятна схема раздела Яндекса (как поступят с миноритарными инвесторами?)

SGZH;0;01.04.2024;У Сегежи много долгов и убытки
VTBR;0.5;01.04.2024;Постоянно кидают миноритарных инвесторов
AFLT;0.5;01.04.2024;Аэрофлот активно размывал долю акций через SPO, у компании туманные перспективы

AGRO;0;01.04.2024;Русагро - ГДР, при переезде вероятен навес из продавцов, как с ВК
TCSG;0;01.04.2024;Тинькофф - ГДР, при переезде вероятен навес из продавцов, как с ВК
FIVE;0;01.04.2024;X5 - ГДР, при переезде вероятен навес из продавцов, как с ВК
GLTR;0;01.04.2024;Globaltrans - ГДР, при переезде вероятен навес из продавцов, как с ВК
